|Apollo 13 mission patch. It depicts Apollo, the Greek god of the Sun, riding from the Earth to the Moon. "Ex luna, scientia" is Latin for "From the moon, knowledge".
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|The Saturn V launch vehicle is assembled, transported on, and launched from the Mobile Launcher. This structure consists of a base platform 48.8 x 41.1 metres and 7.6 metres high with a 13.7 metre square hole over which the vehicle is mounted. (The platforms were later converted for use by the Space Shuttle.) Sprouting from one end of this platform is the LUT (Launch Umbilical Tower). This 116 metre tower bears nine swing arms which provide the ground crew with access points to the vehicle, and a wide range of services including fuel, LOX, hydraulics, electrical power and various gases for purging and pressurization. These arms are articulated so they can swing away from the vehicle to give it clearance as it rises, and to protect them from the rocket's white hot exhaust gases. The crew enter the spacecraft via the top, or ninth, arm, which carries an environmentally controlled room at its end. Known as the "white room", it covers the CM hatch until the crew is aboard. 43 minutes before launch, it is swung away from the spacecraft by 12°. Five minutes before launch, it completes its retraction to 180°, on the opposite side of the tower from the Saturn V.
|
|
|The launch pad sits several miles away from the space center. The enormous concrete wedge is surrounded by empty space, some small support buildings, and the facilities for holding the rocket fuel before loading it into the Saturn V itself. The launch pad itself isn't a solid block of concrete, but contains maintenance spaces, connections for the piping and electric power sources needed by the Mobile Launcher - and even an emergency bunker for any staff that will not have the time to reach other safety in time.
|
|
|Apollo 13 is the third attempt by the United States to perform a manned landing on the Moon. The mission's destination, in the highlands near the crater Fra Mauro, reflects the Apollo programme's increasing emphasis on science. Two of the crew, commander Jim Lovell and Lunar Module Pilot Fred Haise, plan to bring their Lunar Module <i>Aquarius</i> down to a precision landing near a 370-metre crater called Cone. This crater acts like a drillhole, the physics of its formation allowing subsurface material to be sampled around its rim and, hopefully, giving insight into the Moon's geological history. One week before launch, the third crewmember, Command Module Pilot Jack Swigert, was on the backup crew when prime CMP Ken Mattingly was exposed to German measles. Mattingly did not have immunity to the disease so to avoid the possibility of him becoming sick during the mission, he was replaced by his backup only two days before launch.
|The launch day is Saturday, April 11th, 1970. The planned time of launch is 19:13:00 GMT which, at Kennedy Space Center (KSC), will be 14:13:00 EST. The launch azimuth, in other words the heading that the vehicle's ground track will take away from the launch pad, is 72&deg; or about east-northeast.
|Apollo 13 will be launched in the April launch window to the Moon. The launch window for the chosen day, April 11th, opens at 14:13:00 EST which is exactly the planned moment of their launch. It will remain open until 17:37:00 EST. Should 13 fail to launch in April, backup dates are set in May, with three days from 9th to the 11th of May as launch opportunities.
|A launch window is a time determined to be optimal for the launch of a space vehicle so that it can reach its destination, given certain constraints, of which Apollo has many. A daytime launch is preferred, since it would aid in crew recovery should they need to abort during the launch. The launch trajectory azimuth restriction from 72&deg; to 108&deg; dictates this time as well. It is desirable to perform the translunar injection burn over the Pacific Ocean for communication reasons. The landing should occur when sunlight conditions on the surface of the Moon are favorable for the crew to view their landing site. A very large antenna capable of tracking the lunar landing is located in Goldstone, California and it would be preferable to time the landing so that this antenna is pointing at the Moon at the time, which adds its own limitation. Finally, daytime conditions for the primary recovery area during their scheduled return are needed, for safe recovery of the crew after they splash down.
|Launch operations will be conducted in a standard manner, familiar from previous Apollo launches. However, special attention is being paid to weather conditions due to the lightning strike incident during the launch of Apollo 12. Great care has been taken to ensure that the launch will not take place should the weather suggest the possibility of thunder or triggering lightning by flying the Saturn V into it.
|The Apollo 13 space vehicle, consisting of the mighty Saturn V launch vehicle and the Apollo 13 spacecraft, has awaited launch at Pad 39A since December 15, 1969, when the Mobile Launcher carried it from the Vehicle Assembly Building (VAB) to the launch site.
|As the transcript starts, the Saturn V is already fully fueled. Only relatively small amounts are being pumped into the tanks to continue topping them off to compensate for the boil-off of extremely volatile cryogenic propellants. This ensures that the tanks contain the expected quantity of liquid at launch. The first stage, the S-IC, is loaded with 815,113 liters of RP-1 kerosene fuel, along with 1,318,621 liters of liquid oxygen (LOX) oxidizer. The thirst of the first stage engines is truly astronomical. The contents of the first stage liquid oxygen tank alone compose one half of the total weight of the Saturn V stack. In comparison, the propellant levels in the other two stages sound tiny. The S-II second stage carries 1,030,919 liters of liquid hydrogen (LH<sub>2</sub>) fuel and 333,930 liters of liquid oxygen. The similarly liquid hydrogen/liquid oxygen-fueled third stage carries 242,815 liters and 76,571 liters respectively.
|This fully fueled Apollo/Saturn V is the heaviest space vehicle yet. Its mass stands at 2,949,136 kilograms, or 6,501,733 pounds. The first stage engines must overcome this weight to lift the Saturn V vehicle off the pad and head it to space. Only 1.5 per cent of all this mass consists of the crew and its two spacecraft stacked one on top of another - and even then, most of that remaining 1.5 per cent is the fuel loaded in the Service Module and the two-stage Lunar Module!
|After being woken up, the astronauts enjoyed a small banquet of sorts before the launch, a breakfast of steak and eggs with coffee, treats they would not be getting while in space. The menu is chosen to have a low residue and according to the public affairs announcer, consists of steak and eggs, orange juice, coffee, jelly and toast.
|After getting dressed in their Constant Wear Garment (CWG) underwear and medical sensors, the crewmembers moved into the suiting up area at the crew quarters to begin the cumbersome process of getting inside their handmade, made to fit A7L spacesuits - each offically known as an Extravehicular Mobility Unit (EMU). The A7L provides them with a pressurized environment and protection against extreme cold, heat and vacuum, as well as radiation and micrometeroids.
|Jim is all geared up on his lunar surface suit, topping off weight at 19.69 kilograms or 43.42 pounds. Pockets on his spacesuit are filled with equipment ranging from radiation dosimeters to pencils to checklists - to a sandwich for a post-launch snack.
|After suiting up, the crew is taken to the launch pad aboard a vehicle, usually dubbed the Astro Van. They are hooked up to suitcase-like portable oxygen supplies (known as ventilators) for the trip until their hoses are connected to the spacecraft's Environmental Control System feeds. This is part of the prebreathing sequence to condition the crew to a 100 per cent oxygen atmosphere, which they will be breathing throughout the mission. Breathing pure oxygen flushes out the nitrogen that is normally part of our breathing air. Should they still have nitrogen in their bloodstream as the pressure onboard the spacecraft drops during ascent, they could suffer from dysbarism - also known as the bends, where bubbles of nitrogen form and cause a painful, debilitating and potentially fatal condition in the human body.
|The White Room sits on the end of the topmost service arm on the launch tower. It serves as a place for the crew to enter the spacecraft, and for technicians to perform any final necessary checks and maintenance.
|Part of the ritual of boarding the spacecraft was the exchange of gag gifts to break the pre-flight tension. For Apollo 13, Pad Leader Guenther Wendt recalls giving Fred a baby doll and some diapers to practice changing, for his upcoming baby.
