-012959|PAO|This is Apollo Saturn Launch Control; we're at T minus 1 hour, 29 minutes, 57 seconds and counting. Finishing up at this time is the checks of the Emergency Detection System. Skip Chauvin, the Test Supervisor, now also making some - he's Spacecraft Test Supervisor - making some checks with the various members of the team - launch crew inside the spacecraft. The Boost Protective Cover has now come closed. This is the cover which will protect the spacecraft hatch both from the jettison of the Launch Escape System and also as it develops some friction as it goes up through the heavy Earth's atmosphere. The (close-out) crew now, as they prepare the Boost Protective Cover, will also be going around the White Room doing what's called 'breaking up the White Room' or generally preparing it for retraction. Once the close-out crew departs the White Room area, that White Room will be retracted to a stand-by position. It will remain in that stand-by position down through the countdown to the T minus 5-minute mark, at which time it will come back to the fully retract position. Now T minus 1 hour, 28 minutes, 52 seconds and counting; this is Kennedy Launch Control.|P
-011959|PAO|This is Apollo Saturn Launch Control; T minus 1 hour, 19 minutes, 58 seconds and counting. At this time, the close-out crew has reported from the White Room that they are in the last stages of clearing out the White Room and making it ready for its retract position. Also going on at this time are some computer checks with the launch vehicle. These computer checks will be run continuously throughout the final portion of the countdown to ensure that the ground computers are communicating properly with the computers aboard the space vehicle. The launch crew had been having some problems with a vent valve in the first stage of the liquid oxygen tank. As mentioned earlier, the liquid oxygen as it does boil off, is vented to the atmosphere. One of these vent valves appeared to be sticking; that problem now does appear to be solved as it has been brought closed. Now at T minus 1 hour, 19 minutes, 8 seconds and counting; this is Kennedy Launch Control.|P
-011000|PAO|This is Apollo Saturn Launch Control; T minus 1 hour, 9 minutes, 59 seconds and counting. At this time in the Command Module <i>Odyssey</i>, the three crewmen; spacecraft commander Jim Lovell, Command Module Pilot Jack Swigert, and Lunar Module Pilot Fred Haise; are very busy. The spacecraft commander and Command Module Pilot are configuring the Stabilization and Control System for lift-off and aligning that system with the guidance platform aboard the spacecraft. Also going on at this time is a check of the large propulsion system engine below the Service Module. This engine can be gimbaled in response to commands. This is done in two ways and these systems are being checked out at this time. There is a thumbwheel control which can set the engine to a preset position for certain maneuvers and also a Rotational Hand Controller which can be used for the actual flight of a maneuver. These checks are being made now, the engine being gimbaled with spacecraft commander Jim Lovell indicating the position that he is putting these to and readouts are being made to ensure that the engine is gimbaling a proper response. Also at this time a final checkout by the crew of the Entry Monitoring System, also a final setting of this system. Our countdown proceeding well at this time; T minus 1 hour, 8 minutes, 40 seconds; this is Kennedy Launch Control.|P
-010000|PAO|This is Apollo Saturn Launch Control. We're just passing the 1-hour mark in our countdown. Now in the final hour of the countdown toward the launch of Apollo 13. The close-out crew has now left the White Room area, and will be standing by for the retraction to the 12-degree position of swing arm number 9. We've received word from the distinguished guest site that the stands over there are near capacity with some 4,500 guests in the area. The Vice President of the United States, Spiro Agnew, and Chancellor Willie Brandt, his special guest, have arrived in the area although they are not at the stands yet. Out on the causeway, at a guest site, we have 7,000. This is the largest guest number that we have ever had on our causeway site. To recap our countdown, which has gone - proceeded very well today - we resumed the count after a 9-hour and 13-minute built-in hold at 4:13 am this morning. At that time the cryogenic loading began. This is loading aboard, the extremely cold liquid oxygen and liquid hydrogen. Liquid hydrogen is the fuel for the second and third stage. Liquid oxygen, the oxidizer used on all three stages. RP-1 or rocket propellant number 1 is the fuel used in the first stage. It is a kerosene-type fuel and was loaded before the countdown demonstration test back in mid-March. The cryogenic loading went well. There is over 800,000 gallons of cryogenics loaded aboard the Saturn V vehicle at this time. We entered a 1-hour built-in hold. This is a planned hold at the T-minus 3-hour and 30-minute mark. The crew was alerted this morning shortly before 9:00 am by Colonel Tom Stafford, Chief of the Astronaut Office. They then proceeded for a short but brief medical examination by Dr. John Teegen and Dr. Alan Harter. They were pronounced in good shape and ready for their flight. They then had the traditional breakfast of steak and eggs, tenderloin steak, eggs, orange juice, coffee, jelly and toast. After a brief mission briefing, they donned their space suits and took the 8-mile trip in a transfer van to the pad area. They have now been in the spacecraft going through a variety of tests and checks, going over all their switch lists and so on. Our weather at this time is better than had been predicted earlier. We're still looking for some clouds to move into the area and will be expecting a temperature of approximately 80 degrees at our launch time. We continue counting down toward a launch time of 2:13 pm EST. Now at T-minus 57 minutes, 15 seconds and counting; this is Kennedy Launch Control.|P
-005500|PAO|This is Apollo Saturn Launch Control; T minus 55 minutes and counting, T minus 55 minutes and counting and the countdown continues to go well here at the Kennedy Space Center. The close-out crew has now left the White Room. We're standing by for the retraction of the swing arm, swing arm number 9. That's actually scheduled to come at the 43-minute mark in the countdown. However, the close-out crew did leave somewhat early so that event could come a little bit earlier than scheduled. Now we'll go to the Manned Spacecraft Center in Houston, Texas for a status.|P
-005427|PAO|This is Mission Control, Houston. At the present time the flight controllers here in Mission Control are monitoring the countdown and the status of the crew, the launch vehicle, and the spacecraft. The world-wide manned space flight network is up and ready to support the launch. We do have a problem with the Vanguard tracking ship downrange in the mid-Atlantic. A tracking data processor, we understand, is down on the Vanguard and we will not get high speed radar tracking unless this problem is cleared up. The Vanguard is a desirable element of the tracking network, but is not essential, and we're Go to continue the launch with that problem. Just a few minutes ago, Ken Mattingly, who until a few days ago was the prime Command Module Pilot for Apollo 13, arrived in Mission Control, Ken will be assisting at the CapCom console and he's joined astronaut John Young and astronaut Joe Kerwin on the CapCom console. As he arrived in Mission Control, Flight Director Milton Windler greeted him and said, 'Sorry to see you here, Ken.' This is Mission Control, Houston at T minus 53 minutes and 20 seconds.|P
-005000|PAO|This is Apollo Saturn Launch Control; T minus 49 minutes, 58 seconds and counting. At this time we're making some preparations for range safety command system checks. These checks are the system aboard the launch vehicle which could be used by the range safety officers to destroy the vehicle should it stray off path - off its intended course. These destruct actions, of course, would not be taken until the astronaut crew had been advised and were safely away from the vehicle. We're also standing by to wait for swing arm 9 to retract. That should be happening within the next 5 or 10 minutes. The countdown continuing to move along nicely in the last hour. Now T minus 49 minutes, 20 seconds and counting; this is Kennedy Launch Control.|P
-004500|PAO|This is Apollo Saturn Launch Control; T minus 45 minutes and counting, T minus 45 minutes and counting. Steps are now underway for moving the swing arm back to the 12-degree or park position. Launch site recovery forces have called in at this point and have indicated they're on station and ready to support the launch of Apollo 13. The prime crew, inside the spacecraft at this time, left the Manned Spacecraft Operations Building at Kennedy Space Center at 11:07 am Eastern Strandard Time this morning on their way out to the pad. They took the 8-mile trip in the transfer van, went up to the White Room level where spacecraft commander Jim Lovell was the first one to board the spacecraft at 11:32 am. He was followed by the Lunar Module Pilot who moved in; Fred Haise moved into the right-hand seat at 11:32. The Command Module Pilot, stood by in the elevator with a suit technician, was the last one to come aboard. He came aboard at 11:44 am Eastern Strandard Time. We are now standing by for retraction of the White Room. That should occur in approximately 47 seconds. When it comes back, it will come back to a 12-degree or standby position. From this position, it can be quickly brought back to the Command Module if there is a need for the crew to egress or if we need to get a team in to the crew. At the T minus 5-minute mark in the countdown, the swing arm number 9 will come back to the fully retract position and it will then stay in the fully retract position throughout the launch. Once the White Room has been moved back to the 12-degree position, the Launch Escape Tower above the Command Module will be armed. Now standing by for the movement of the swing arm 9, some 5 seconds from this time. T minus 43 minutes and counting, and swing arm 9 should be coming back. Swing arm 9 moving back now to the 12-degree position, it's about some 10 feet now from the spacecraft. We now have word that the Vice-President Spiro Agnew, and the Chancellor of West Germany, Willy Brandt, have arrived at the distinguished guest site. Now at T minus 42 minutes, 31 seconds and counting; this is Kennedy Launch Control.|P
-003959|PAO|This is Apollo Saturn Launch Control; T minus 39 minutes, 57 seconds and counting. At this time the command destruct system tests are now underway with the launch vehicle team. The Launch Escape System above the Command Module has now been armed and that escape system now would be capable of lifting the Command Module free of the launch vehicle should a problem arise. A correction to the last announcement - the Lunar Module Pilot Fred Haise entered the spacecraft at 11:38 am Eastern Standard Time this morning. Our countdown proceeding at this time; T minus 39 minutes, 24 seconds and counting; this is Kennedy Launch Control.|P
-003855|PAO|This is a test on PAO release. Test 1-2-3-4-5 5-4-3-2-1 Test out.|P
-003500|PAO|This is Apollo Saturn Launch Control at T-minus 34 minutes, 58 seconds and counting. At this time, the range safety command checks have just been completed. Preparations are now under way for the power transfer test. This is a critical test to ensure that the power can be transferred from the external source, which we have been using to conserve on batteries, to ensure that the power can be successfully transferred to the batteries aboard the space vehicle and that the systems are Go on those space vehicle batteries. Now at T-minus 34 minutes, 30 seconds and counting; this is Kennedy Launch Control.|P
-003000|PAO|This is Apollo Saturn Launch Control, as we move into the final half hour of our countdown; T minus 29 minutes, 56 seconds and counting. The Brevard Sheriff's Department, Brevard County, Florida has reported that along route 1, the closest major highway to Kennedy Space Center, there are some 100,000 people and 25,000 cars parked watching for the launch of Apollo 13. Along the Indian and Banana Rivers it's reported that the - both rivers are literally filled with boats and spectators standing by to watch the launch. A private airport in Brevard County also reports some 500 private planes have landed and are parked at the airport. Our countdown continuing now - the power transfer test underway - T minus 29 minutes, 13 seconds and counting; this is Kennedy Launch Control.|P
